City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mbala,-8.84,31.37,64.99,63,51,8.68,ZM,2020-11-01 00:18:01
1,Port Lincoln,-34.73,135.87,60.13,76,4,13.73,AU,2020-11-01 00:11:55
2,Leningradskiy,69.38,178.42,17.02,89,53,7.67,RU,2020-11-01 00:11:25
3,Rochegda,62.8,43.25,29.8,98,0,1.61,RU,2020-11-01 00:18:01
4,Ushuaia,-54.8,-68.3,48.2,93,75,9.17,AR,2020-11-01 00:10:16
5,Tuatapere,-46.13,167.68,57.0,74,71,8.99,NZ,2020-11-01 00:11:49
6,Vaini,-21.2,-175.2,77.0,83,75,11.41,TO,2020-11-01 00:11:23
7,Laguna,38.42,-121.42,82.0,22,1,2.15,US,2020-11-01 00:14:42
8,Tomigusuku,26.18,127.67,75.2,60,20,10.29,JP,2020-11-01 00:18:02
9,Bredasdorp,-34.53,20.04,48.2,93,0,3.36,ZA,2020-11-01 00:11:27
10,Mar Del Plata,-38.0,-57.56,60.01,71,0,5.82,AR,2020-11-01 00:11:38
11,Taoudenni,22.68,-3.98,76.93,19,100,13.04,ML,2020-11-01 00:13:58
12,Pevek,69.7,170.31,14.79,95,58,12.1,RU,2020-11-01 00:11:58
13,Albany,42.6,-73.97,34.0,83,0,5.37,US,2020-11-01 00:11:18
14,Punta Arenas,-53.15,-70.92,55.4,62,40,12.75,CL,2020-11-01 00:11:28
15,Galveston,29.37,-94.97,68.0,63,1,5.82,US,2020-11-01 00:15:11
16,Barrow,71.29,-156.79,24.8,68,75,9.17,US,2020-11-01 00:11:11
17,Zyryanka,65.75,150.85,4.05,93,99,4.85,RU,2020-11-01 00:16:16
18,Fairbanks,64.84,-147.72,10.0,71,90,2.08,US,2020-11-01 00:11:04
19,Hobart,-42.88,147.33,64.0,67,75,10.29,AU,2020-11-01 00:11:12
20,Chuy,-33.7,-53.46,53.83,83,4,4.94,UY,2020-11-01 00:11:53
21,Port Alfred,-33.59,26.89,61.34,81,52,10.63,ZA,2020-11-01 00:11:25
22,Cape Town,-33.93,18.42,59.0,58,0,11.41,ZA,2020-11-01 00:10:33
23,Mataura,-46.19,168.86,57.0,74,50,8.99,NZ,2020-11-01 00:11:13
24,Emerald,-23.53,148.17,84.0,30,0,17.22,AU,2020-11-01 00:18:05
25,Busselton,-33.65,115.33,60.01,78,100,1.34,AU,2020-11-01 00:11:17
26,Lebu,-37.62,-73.65,52.36,89,8,8.7,CL,2020-11-01 00:11:19
27,Maine-Soroa,13.21,12.02,78.3,22,0,8.32,NE,2020-11-01 00:18:05
28,Pisco,-13.7,-76.22,64.4,82,0,18.34,PE,2020-11-01 00:11:54
29,Bluff,-46.6,168.33,57.0,74,96,8.99,NZ,2020-11-01 00:11:32
